GroupID,X1,X2,X3,X4

0,-0.460464,-2.89884,-0.927323,-0.060166
0,0.72203,-1.17672,-0.648571,0.0773818
0,-1.81311,-3.57922,-1.68774,0.149822
0,1.58712,0.909091,-0.643905,0.100468
0,-9.03909,-3.37079,-0.840234,0.0957478
0,-2.67863,-2.81088,-0.586821,-0.0979772
0,0.853826,1.01288,1.65336,-0.488285
0,-1.20111,-4.30862,-2.11609,0.306239
0,0.941567,-0.942535,-0.772887,-0.144123
0,2.42762,2.826,0.931879,-0.615545
0,-2.09466,-4.10797,-0.67658,-0.537419
0,-10.2105,-6.07522,0.544154,-0.194218
0,-3.85912,4.8739,1.16062,-2.29681
0,0.534875,-0.884371,-0.229348,0.016635
0,2.57064,2.53572,0.18135,0.189529
0,-14.3427,-0.556695,0.174624,0.0817893
0,-0.770292,-1.40016,2.15659,-0.344859
0,-1.18611,-0.318136,3.68466,-1.344
0,-14.5505,-3.08929,4.94891,0.864727
0,0.223547,-1.88911,-1.12104,-0.342786
0,-2.44235,-2.9082,1.23943,0.0772797
0,-3.07491,-3.22743,-1.32246,0.0194735
0,2.48323,2.33824,0.107682,0.244272
0,1.50629,0.555148,-0.424969,-0.0601128
0,-5.06251,-3.13253,-0.912521,-0.076518
0,-5.83813,-3.20513,2.00047,0.127662
0,-3.23935,-2.80448,5.54207,-1.20708
0,2.50298,2.40608,0.107604,0.289431
0,1.05732,0.827773,0.978159,-0.481641
0,1.43426,0.951487,0.647595,-0.288063
0,2.0143,0.88916,-0.687383,0.295358
0,-1.5852,-0.165496,5.44429,-2.13353
0,1.94536,1.14106,-0.355572,0.104736
0,-1.5702,-3.72992,-0.4456,-0.218067
0,2.06574,1.48309,-0.353634,0.256565
0,1.64231,1.02689,-0.101099,-0.0156202
0,2.418,2.2679,0.0879571,0.205325
0,-1.82231,-5.50831,-1.19466,0.180637
0,-0.68873,-1.84216,0.23117,-0.143261
0,2.11197,1.68197,-0.224203,-0.0358623
0,-3.72059,-2.63079,-0.780271,0.622742
